Algorithm,Score,Extra Training Data,Paper Title,Date,Game
DQN hs,26.9,False,Deep Reinforcement Learning with Double Q-learning,2015,freeway
Best Baseline,22.5,False,The Arcade Learning Environment: An Evaluation Platform for General Agents,2012,freeway
ENAS,22,False,Optimizing the Neural Architecture of Reinforcement Learning Agents,2020,freeway
SPOS,22,False,Optimizing the Neural Architecture of Reinforcement Learning Agents,2020,freeway
POP3D,21.21,False,Policy Optimization With Penalized Point Probability Distance: An Alternative To Proximal Policy Optimization,2018,freeway
SARSA,19.7,False,,,freeway
Best Learner,19.1,False,The Arcade Learning Environment: An Evaluation Platform for General Agents,2012,freeway
Gorila,10.2,False,Massively Parallel Methods for Deep Reinforcement Learning,2015,freeway
SAC,4.4,False,Soft Actor-Critic for Discrete Action Settings,2019,freeway
UCT,0.4,False,The Arcade Learning Environment: An Evaluation Platform for General Agents,2012,freeway
Duel hs,0.2,False,Dueling Network Architectures for Deep Reinforcement Learning,2015,freeway
A3C FF (1 day) hs,0.1,False,Asynchronous Methods for Deep Reinforcement Learning,2016,freeway
A3C FF hs,0.1,False,Asynchronous Methods for Deep Reinforcement Learning,2016,freeway
A3C LSTM hs,0.1,False,Asynchronous Methods for Deep Reinforcement Learning,2016,freeway
Duel noop,0.0,False,Dueling Network Architectures for Deep Reinforcement Learning,2015,freeway
Sarsa-φ-EB,0.0,False,Count-Based Exploration in Feature Space for Reinforcement Learning,2017,freeway
IMPALA (deep),0.00,False,IMPALA: Scalable Distributed Deep-RL with Importance Weighted Actor-Learner Architectures,2018,freeway
Agent57,29660.08,False,Agent57: Outperforming the Atari Human Benchmark,2020,amidar
R2D2,29321.4,False,Recurrent Experience Replay in Distributed Reinforcement Learning,2019,amidar
MuZero,28634.39,False,"Mastering Atari, Go, Chess and Shogi by Planning with a Learned Model",2019,amidar
Ape-X,8659.2,False,Distributed Prioritized Experience Replay,2018,amidar
NoisyNet-Dueling,3537,False,Noisy Networks for Exploration,2017,amidar
FQF,3165.3,False,Fully Parameterized Quantile Function for Distributional Reinforcement Learning,2019,amidar
IQN,2946,False,Implicit Quantile Networks for Distributional Reinforcement Learning,2018,amidar
DreamerV2,2577,False,Mastering Atari with Discrete World Models,2020,amidar
Duel noop,2354.5,False,Dueling Network Architectures for Deep Reinforcement Learning,2015,amidar
Prior+Duel noop,2296.8,False,Dueling Network Architectures for Deep Reinforcement Learning,2015,amidar
Prior noop,1838.9,False,Prioritized Experience Replay,2015,amidar
DDQN (tuned) noop,1793.3,False,Dueling Network Architectures for Deep Reinforcement Learning,2015,amidar
C51 noop,1735.0,False,A Distributional Perspective on Reinforcement Learning,2017,amidar
QR-DQN-1,1641,False,Distributional Reinforcement Learning with Quantile Regression,2017,amidar
Advantage Learning,1557.43,False,Increasing the Action Gap: New Operators for Reinforcement Learning,2015,amidar
IMPALA (deep),1554.79,False,IMPALA: Scalable Distributed Deep-RL with Importance Weighted Actor-Learner Architectures,2018,amidar
Persistent AL,1451.65,False,Increasing the Action Gap: New Operators for Reinforcement Learning,2015,amidar
GDI-I3,1442,False,GDI: Rethinking What Makes Reinforcement Learning Different From Supervised Learning,2021,amidar
A2C + SIL,1362,False,Self-Imitation Learning,2018,amidar
Bootstrapped DQN,1272.5,False,Deep Exploration via Bootstrapped DQN,2016,amidar
MuZero (Res2 Adam),1197.38,False,Online and Offline Reinforcement Learning by Planning with a Learned Model,2021,amidar
GDI-H3(200M frames),1065,False,GDI: Rethinking What Makes Reinforcement Learning Different From Supervised Learning,2021,amidar
Reactor 500M,1015.8,False,The Reactor: A fast and sample-efficient Actor-Critic agent for Reinforcement Learning,2017,amidar
DQN noop,978.0,False,Deep Reinforcement Learning with Double Q-learning,2015,amidar
DDQN+Pop-Art noop,782.5,False,Learning values across many orders of magnitude,2016,amidar
Nature DQN,739.5,False,,,amidar
POP3D,729.15,False,Policy Optimization With Penalized Point Probability Distance: An Alternative To Proximal Policy Optimization,2018,amidar
VPN,641,False,Value Prediction Network,2017,amidar
A3C FF (1 day) hs,283.9,False,Asynchronous Methods for Deep Reinforcement Learning,2016,amidar
A3C FF hs,263.9,False,Asynchronous Methods for Deep Reinforcement Learning,2016,amidar
Rainbow+SEER,250.5,False,Improving Computational Efficiency in Visual Reinforcement Learning via Stored Embeddings,2021,amidar
Prior+Duel hs,238.4,False,Deep Reinforcement Learning with Double Q-learning,2015,amidar
Prior+Duel hs,238.4,False,Dueling Network Architectures for Deep Reinforcement Learning,2015,amidar
CURL,232.3,False,CURL: Contrastive Unsupervised Representations for Reinforcement Learning,2020,amidar
CGP,199,False,Evolving simple programs for playing Atari games,2018,amidar
Gorila,189.2,False,Massively Parallel Methods for Deep Reinforcement Learning,2015,amidar
SARSA,183.6,False,,,amidar
UCT,180.3,False,The Arcade Learning Environment: An Evaluation Platform for General Agents,2012,amidar
DQN hs,178.4,False,Deep Reinforcement Learning with Double Q-learning,2015,amidar
A3C LSTM hs,173.0,False,Asynchronous Methods for Deep Reinforcement Learning,2016,amidar
Duel hs,172.7,False,Dueling Network Architectures for Deep Reinforcement Learning,2015,amidar
DDQN (tuned) hs,169.1,False,Deep Reinforcement Learning with Double Q-learning,2015,amidar
Prior hs,129.1,False,Prioritized Experience Replay,2015,amidar
ES FF (1 hour) noop,112.0,False,Evolution Strategies as a Scalable Alternative to Reinforcement Learning,2017,amidar
Best Learner,103.4,False,The Arcade Learning Environment: An Evaluation Platform for General Agents,2012,amidar
SAC,7.9,False,Soft Actor-Critic for Discrete Action Settings,2019,amidar
GDI-I3,24,False,GDI: Rethinking What Makes Reinforcement Learning Different From Supervised Learning,2021,tennis
GDI-H3(200M frames),24,False,GDI: Rethinking What Makes Reinforcement Learning Different From Supervised Learning,2021,tennis
Ape-X,23.9,False,Distributed Prioritized Experience Replay,2018,tennis
Agent57,23.84,False,Agent57: Outperforming the Atari Human Benchmark,2020,tennis
IQN,23.6,False,Implicit Quantile Networks for Distributional Reinforcement Learning,2018,tennis
QR-DQN-1,23.6,False,Distributional Reinforcement Learning with Quantile Regression,2017,tennis
C51 noop,23.1,False,A Distributional Perspective on Reinforcement Learning,2017,tennis
Recurrent Rational DQN Average,20.6,False,Adaptive Rational Activations to Boost Deep Reinforcement Learning,2021,tennis
Rational DQN Average,20.5,False,Adaptive Rational Activations to Boost Deep Reinforcement Learning,2021,tennis
DreamerV2,14,False,Mastering Atari with Discrete World Models,2020,tennis
DQN noop,12.2,False,Deep Reinforcement Learning with Double Q-learning,2015,tennis
DDQN+Pop-Art noop,12.1,False,Learning values across many orders of magnitude,2016,tennis
DQN hs,11.1,False,Deep Reinforcement Learning with Double Q-learning,2015,tennis
Duel noop,5.1,False,Dueling Network Architectures for Deep Reinforcement Learning,2015,tennis
Duel hs,4.4,False,Dueling Network Architectures for Deep Reinforcement Learning,2015,tennis
UCT,2.8,False,The Arcade Learning Environment: An Evaluation Platform for General Agents,2012,tennis
IMPALA (deep),0.55,False,IMPALA: Scalable Distributed Deep-RL with Importance Weighted Actor-Learner Architectures,2018,tennis
SARSA,0.0,False,,,tennis
Prior noop,0.0,False,Prioritized Experience Replay,2015,tennis
Prior+Duel noop,0.0,False,Dueling Network Architectures for Deep Reinforcement Learning,2015,tennis
Bootstrapped DQN,0,False,Deep Exploration via Bootstrapped DQN,2016,tennis
MuZero,0.00,False,"Mastering Atari, Go, Chess and Shogi by Planning with a Learned Model",2019,tennis
CGP,0,False,Evolving simple programs for playing Atari games,2018,tennis
NoisyNet-Dueling,0,False,Noisy Networks for Exploration,2017,tennis
Advantage Learning,0,False,Increasing the Action Gap: New Operators for Reinforcement Learning,2015,tennis
MuZero (Res2 Adam),0,False,Online and Offline Reinforcement Learning by Planning with a Learned Model,2021,tennis
Nature DQN,-2.5,False,,,tennis
Gorila,-0.7,False,Massively Parallel Methods for Deep Reinforcement Learning,2015,tennis
DDQN (tuned) noop,-22.8,False,Dueling Network Architectures for Deep Reinforcement Learning,2015,tennis
DDQN (tuned) hs,-7.8,False,Deep Reinforcement Learning with Double Q-learning,2015,tennis
Prior+Duel hs,-13.2,False,Deep Reinforcement Learning with Double Q-learning,2015,tennis
Prior hs,-5.3,False,Prioritized Experience Replay,2015,tennis
A3C FF hs,-6.3,False,Asynchronous Methods for Deep Reinforcement Learning,2016,tennis
A3C LSTM hs,-6.4,False,Asynchronous Methods for Deep Reinforcement Learning,2016,tennis
A3C FF (1 day) hs,-10.2,False,Asynchronous Methods for Deep Reinforcement Learning,2016,tennis
ES FF (1 hour) noop,-4.5,False,Evolution Strategies as a Scalable Alternative to Reinforcement Learning,2017,tennis
R2D2,-0.1,False,Recurrent Experience Replay in Distributed Reinforcement Learning,2019,tennis
Best Learner,-0.1,False,The Arcade Learning Environment: An Evaluation Platform for General Agents,2012,tennis
POP3D,-8.32,False,Policy Optimization With Penalized Point Probability Distance: An Alternative To Proximal Policy Optimization,2018,tennis
A2C + SIL,-17.3,False,Self-Imitation Learning,2018,tennis
Agent57,44199.93,False,Agent57: Outperforming the Atari Human Benchmark,2020,solaris
Go-Explore,19671,False,"First return, then explore",2020,solaris
GDI-I3,11074,False,GDI: Rethinking What Makes Reinforcement Learning Different From Supervised Learning,2021,solaris
GDI-H3(200M frames),9105,False,GDI: Rethinking What Makes Reinforcement Learning Different From Supervised Learning,2021,solaris
CGP,8324,False,Evolving simple programs for playing Atari games,2018,solaris
IQN,8007,False,Implicit Quantile Networks for Distributional Reinforcement Learning,2018,solaris
QR-DQN-1,6740,False,Distributional Reinforcement Learning with Quantile Regression,2017,solaris
NoisyNet-Dueling,6522,False,Noisy Networks for Exploration,2017,solaris
MuZero (Res2 Adam),5132.95,False,Online and Offline Reinforcement Learning by Planning with a Learned Model,2021,solaris
Advantage Learning,4785.16,False,Increasing the Action Gap: New Operators for Reinforcement Learning,2015,solaris
R2D2,3787.2,False,Recurrent Experience Replay in Distributed Reinforcement Learning,2019,solaris
RND,3282,False,Exploration by Random Network Distillation,2018,solaris
Ape-X,2892.9,False,Distributed Prioritized Experience Replay,2018,solaris
IMPALA (deep),2365.00,False,IMPALA: Scalable Distributed Deep-RL with Importance Weighted Actor-Learner Architectures,2018,solaris
DQNMMCe,2244.6,False,Count-Based Exploration with the Successor Representation,2018,solaris
DreamerV2,922,False,Mastering Atari with Discrete World Models,2020,solaris
MuZero,56.62,False,"Mastering Atari, Go, Chess and Shogi by Planning with a Learned Model",2019,solaris
MuZero (Res2 Adam),27219.8,False,Online and Offline Reinforcement Learning by Planning with a Learned Model,2021,bankheist
R2D2,24235.9,False,Recurrent Experience Replay in Distributed Reinforcement Learning,2019,bankheist
Agent57,23071.5,False,Agent57: Outperforming the Atari Human Benchmark,2020,bankheist
Ape-X,1716.4,False,Distributed Prioritized Experience Replay,2018,bankheist
Duel noop,1611.9,False,Dueling Network Architectures for Deep Reinforcement Learning,2015,bankheist
Prior+Duel noop,1503.1,False,Dueling Network Architectures for Deep Reinforcement Learning,2015,bankheist
IQN,1416,False,Implicit Quantile Networks for Distributional Reinforcement Learning,2018,bankheist
GDI-I3,1401,False,GDI: Rethinking What Makes Reinforcement Learning Different From Supervised Learning,2021,bankheist
GDI-H3(200M frames),1380,False,GDI: Rethinking What Makes Reinforcement Learning Different From Supervised Learning,2021,bankheist
NoisyNet-Dueling,1318,False,Noisy Networks for Exploration,2017,bankheist
MuZero,1278.98,False,"Mastering Atari, Go, Chess and Shogi by Planning with a Learned Model",2019,bankheist
Reactor 500M,1259.7,False,The Reactor: A fast and sample-efficient Actor-Critic agent for Reinforcement Learning,2017,bankheist
QR-DQN-1,1249,False,Distributional Reinforcement Learning with Quantile Regression,2017,bankheist
IMPALA (deep),1223.15,False,IMPALA: Scalable Distributed Deep-RL with Importance Weighted Actor-Learner Architectures,2018,bankheist
POP3D,1212.23,False,Policy Optimization With Penalized Point Probability Distance: An Alternative To Proximal Policy Optimization,2018,bankheist
Bootstrapped DQN,1208,False,Deep Exploration via Bootstrapped DQN,2016,bankheist
A2C + SIL,1137.8,False,Self-Imitation Learning,2018,bankheist
Duel hs,1129.3,False,Dueling Network Architectures for Deep Reinforcement Learning,2015,bankheist
DreamerV2,1126,False,Mastering Atari with Discrete World Models,2020,bankheist
DDQN+Pop-Art noop,1103.3,False,Learning values across many orders of magnitude,2016,bankheist
Prior noop,1054.6,False,Prioritized Experience Replay,2015,bankheist
DDQN (tuned) noop,1030.6,False,Dueling Network Architectures for Deep Reinforcement Learning,2015,bankheist
Prior+Duel hs,1004.6,False,Deep Reinforcement Learning with Double Q-learning,2015,bankheist
C51 noop,976.0,False,A Distributional Perspective on Reinforcement Learning,2017,bankheist
A3C FF hs,970.1,False,Asynchronous Methods for Deep Reinforcement Learning,2016,bankheist
A3C FF (1 day) hs,946.0,False,Asynchronous Methods for Deep Reinforcement Learning,2016,bankheist
A3C LSTM hs,932.8,False,Asynchronous Methods for Deep Reinforcement Learning,2016,bankheist
DDQN (tuned) hs,886.0,False,Deep Reinforcement Learning with Double Q-learning,2015,bankheist
Prior hs,876.6,False,Prioritized Experience Replay,2015,bankheist
Persistent AL,874.99,False,Increasing the Action Gap: New Operators for Reinforcement Learning,2015,bankheist
Advantage Learning,633.63,False,Increasing the Action Gap: New Operators for Reinforcement Learning,2015,bankheist
UCT,497.8,False,The Arcade Learning Environment: An Evaluation Platform for General Agents,2012,bankheist
DQN noop,455.0,False,Deep Reinforcement Learning with Double Q-learning,2015,bankheist
Nature DQN,429.7,False,,,bankheist
Gorila,399.4,False,Massively Parallel Methods for Deep Reinforcement Learning,2015,bankheist
DQN hs,312.7,False,Deep Reinforcement Learning with Double Q-learning,2015,bankheist
Rainbow+SEER,276.6,False,Improving Computational Efficiency in Visual Reinforcement Learning via Stored Embeddings,2021,bankheist
ES FF (1 hour) noop,225.0,False,Evolution Strategies as a Scalable Alternative to Reinforcement Learning,2017,bankheist
CURL,193.7,False,CURL: Contrastive Unsupervised Representations for Reinforcement Learning,2020,bankheist
Best Learner,190.8,False,The Arcade Learning Environment: An Evaluation Platform for General Agents,2012,bankheist
CGP,148,False,Evolving simple programs for playing Atari games,2018,bankheist
Discrete Latent Space World Model (VQ-VAE),121.6,False,Smaller World Models for Reinforcement Learning,2020,bankheist
SARSA,67.4,False,,,bankheist
GDI-I3,488830,False,GDI: Rethinking What Makes Reinforcement Learning Different From Supervised Learning,2021,gopher
GDI-H3(200M frames),473560,False,GDI: Rethinking What Makes Reinforcement Learning Different From Supervised Learning,2021,gopher
MuZero,130345.58,False,"Mastering Atari, Go, Chess and Shogi by Planning with a Learned Model",2019,gopher
R2D2,124776.3,False,Recurrent Experience Replay in Distributed Reinforcement Learning,2019,gopher
MuZero (Res2 Adam),122882.5,False,Online and Offline Reinforcement Learning by Planning with a Learned Model,2021,gopher
Ape-X,120500.9,False,Distributed Prioritized Experience Replay,2018,gopher
IQN,118365,False,Implicit Quantile Networks for Distributional Reinforcement Learning,2018,gopher
Agent57,117777.08,False,Agent57: Outperforming the Atari Human Benchmark,2020,gopher
QR-DQN-1,113585,False,Distributional Reinforcement Learning with Quantile Regression,2017,gopher
Prior+Duel hs,105148.4,False,Deep Reinforcement Learning with Double Q-learning,2015,gopher
Prior+Duel noop,104368.2,False,Dueling Network Architectures for Deep Reinforcement Learning,2015,gopher
DreamerV2,92282,False,Mastering Atari with Discrete World Models,2020,gopher
IMPALA (deep),66782.30,False,IMPALA: Scalable Distributed Deep-RL with Importance Weighted Actor-Learner Architectures,2018,gopher
DDQN+Pop-Art noop,56218.2,False,Learning values across many orders of magnitude,2016,gopher
NoisyNet-Dueling,38909,False,Noisy Networks for Exploration,2017,gopher
Prior hs,34858.8,False,Prioritized Experience Replay,2015,gopher
C51 noop,33641.0,False,A Distributional Perspective on Reinforcement Learning,2017,gopher
Prior noop,32487.2,False,Prioritized Experience Replay,2015,gopher
A2C + SIL,23304.2,False,Self-Imitation Learning,2018,gopher
UCT,20560,False,The Arcade Learning Environment: An Evaluation Platform for General Agents,2012,gopher
Duel hs,20051.4,False,Dueling Network Architectures for Deep Reinforcement Learning,2015,gopher
Bootstrapped DQN,17438.4,False,Deep Exploration via Bootstrapped DQN,2016,gopher
A3C LSTM hs,17106.8,False,Asynchronous Methods for Deep Reinforcement Learning,2016,gopher
Duel noop,15718.4,False,Dueling Network Architectures for Deep Reinforcement Learning,2015,gopher
DDQN (tuned) hs,15253.0,False,Deep Reinforcement Learning with Double Q-learning,2015,gopher
DDQN (tuned) noop,14840.8,False,Dueling Network Architectures for Deep Reinforcement Learning,2015,gopher
Advantage Learning,11912.68,False,Increasing the Action Gap: New Operators for Reinforcement Learning,2015,gopher
Persistent AL,10611.81,False,Increasing the Action Gap: New Operators for Reinforcement Learning,2015,gopher
A3C FF hs,10022.8,False,Asynchronous Methods for Deep Reinforcement Learning,2016,gopher
DQN noop,8777.4,False,Deep Reinforcement Learning with Double Q-learning,2015,gopher
Nature DQN,8520.0,False,,,gopher
A3C FF (1 day) hs,8442.8,False,Asynchronous Methods for Deep Reinforcement Learning,2016,gopher
DQN hs,8190.4,False,Deep Reinforcement Learning with Double Q-learning,2015,gopher
POP3D,6207,False,Policy Optimization With Penalized Point Probability Distance: An Alternative To Proximal Policy Optimization,2018,gopher
DARQN soft,5356,False,Deep Attention Recurrent Q-Network,2015,gopher
Gorila,4373.0,False,Massively Parallel Methods for Deep Reinforcement Learning,2015,gopher
SARSA,2368.0,False,,,gopher
CGP,1696,False,Evolving simple programs for playing Atari games,2018,gopher
Best Learner,1288.3,False,The Arcade Learning Environment: An Evaluation Platform for General Agents,2012,gopher
CURL,801.4,False,CURL: Contrastive Unsupervised Representations for Reinforcement Learning,2020,gopher
ES FF (1 hour) noop,582.0,False,Evolution Strategies as a Scalable Alternative to Reinforcement Learning,2017,gopher
CGP,993010,False,Evolving simple programs for playing Atari games,2018,defender
GDI-H3(200M frames),970540,False,GDI: Rethinking What Makes Reinforcement Learning Different From Supervised Learning,2021,defender
GDI-I3,893110,False,GDI: Rethinking What Makes Reinforcement Learning Different From Supervised Learning,2021,defender
MuZero,839642.95,False,"Mastering Atari, Go, Chess and Shogi by Planning with a Learned Model",2019,defender
Agent57,677642.78,False,Agent57: Outperforming the Atari Human Benchmark,2020,defender
R2D2,665792.0,False,Recurrent Experience Replay in Distributed Reinforcement Learning,2019,defender
MuZero (Res2 Adam),557200.75,False,Online and Offline Reinforcement Learning by Planning with a Learned Model,2021,defender
Ape-X,411943.5,False,Distributed Prioritized Experience Replay,2018,defender
Reactor 500M,223025.0,False,The Reactor: A fast and sample-efficient Actor-Critic agent for Reinforcement Learning,2017,defender
IMPALA (deep),185203.00,False,IMPALA: Scalable Distributed Deep-RL with Importance Weighted Actor-Learner Architectures,2018,defender
IQN,53537,False,Implicit Quantile Networks for Distributional Reinforcement Learning,2018,defender
QR-DQN-1,47887,False,Distributional Reinforcement Learning with Quantile Regression,2017,defender
NoisyNet-Dueling,42253,False,Noisy Networks for Exploration,2017,defender
Duel noop,42214.0,False,Dueling Network Architectures for Deep Reinforcement Learning,2015,defender
Prior+Duel noop,41324.5,False,Dueling Network Architectures for Deep Reinforcement Learning,2015,defender
Prior+Duel hs,34415.0,False,Dueling Network Architectures for Deep Reinforcement Learning,2015,defender
Persistent AL,32038.93,False,Increasing the Action Gap: New Operators for Reinforcement Learning,2015,defender
Advantage Learning,30643.59,False,Increasing the Action Gap: New Operators for Reinforcement Learning,2015,defender
Agent57,2354.91,False,Agent57: Outperforming the Atari Human Benchmark,2020,tutankham
MuZero,491.48,False,"Mastering Atari, Go, Chess and Shogi by Planning with a Learned Model",2019,tutankham
GDI-I3,423.9,False,GDI: Rethinking What Makes Reinforcement Learning Different From Supervised Learning,2021,tutankham
GDI-H3(200M frames),418.2,False,GDI: Rethinking What Makes Reinforcement Learning Different From Supervised Learning,2021,tutankham
R2D2,395.3,False,Recurrent Experience Replay in Distributed Reinforcement Learning,2019,tutankham
MuZero (Res2 Adam),347.99,False,Online and Offline Reinforcement Learning by Planning with a Learned Model,2021,tutankham
A2C + SIL,340.5,False,Self-Imitation Learning,2018,tutankham
QR-DQN-1,297,False,Distributional Reinforcement Learning with Quantile Regression,2017,tutankham
IQN,293,False,Implicit Quantile Networks for Distributional Reinforcement Learning,2018,tutankham
IMPALA (deep),292.11,False,IMPALA: Scalable Distributed Deep-RL with Importance Weighted Actor-Learner Architectures,2018,tutankham
C51 noop,280.0,False,A Distributional Perspective on Reinforcement Learning,2017,tutankham
Ape-X,272.6,False,Distributed Prioritized Experience Replay,2018,tutankham
NoisyNet-Dueling,269,False,Noisy Networks for Exploration,2017,tutankham
DreamerV2,264,False,Mastering Atari with Discrete World Models,2020,tutankham
Prior+Duel noop,245.9,False,Dueling Network Architectures for Deep Reinforcement Learning,2015,tutankham
Advantage Learning,245.22,False,Increasing the Action Gap: New Operators for Reinforcement Learning,2015,tutankham
POP3D,241.21,False,Policy Optimization With Penalized Point Probability Distance: An Alternative To Proximal Policy Optimization,2018,tutankham
UCT,225.5,False,The Arcade Learning Environment: An Evaluation Platform for General Agents,2012,tutankham
DDQN (tuned) noop,218.4,False,Dueling Network Architectures for Deep Reinforcement Learning,2015,tutankham
Bootstrapped DQN,214.8,False,Deep Exploration via Bootstrapped DQN,2016,tutankham
Duel noop,211.4,False,Dueling Network Architectures for Deep Reinforcement Learning,2015,tutankham
Prior noop,204.6,False,Prioritized Experience Replay,2015,tutankham
DARQN soft,197,False,Deep Attention Recurrent Q-Network,2015,tutankham
Nature DQN,186.7,False,,,tutankham
Recurrent Rational DQN Average,184,False,Adaptive Rational Activations to Boost Deep Reinforcement Learning,2021,tutankham
DDQN+Pop-Art noop,183.9,False,Learning values across many orders of magnitude,2016,tutankham
Rational DQN Average,179,False,Adaptive Rational Activations to Boost Deep Reinforcement Learning,2021,tutankham
A3C FF hs,156.3,False,Asynchronous Methods for Deep Reinforcement Learning,2016,tutankham
A3C LSTM hs,144.2,False,Asynchronous Methods for Deep Reinforcement Learning,2016,tutankham
ES FF (1 hour) noop,130.3,False,Evolution Strategies as a Scalable Alternative to Reinforcement Learning,2017,tutankham
Gorila,118.5,False,Massively Parallel Methods for Deep Reinforcement Learning,2015,tutankham
Best Learner,114.3,False,The Arcade Learning Environment: An Evaluation Platform for General Agents,2012,tutankham
Prior+Duel hs,108.6,False,Deep Reinforcement Learning with Double Q-learning,2015,tutankham
SARSA,98.2,False,,,tutankham
DDQN (tuned) hs,92.2,False,Deep Reinforcement Learning with Double Q-learning,2015,tutankham
DQN noop,68.1,False,Deep Reinforcement Learning with Double Q-learning,2015,tutankham
Prior hs,56.9,False,Prioritized Experience Replay,2015,tutankham
Duel hs,48.0,False,Dueling Network Architectures for Deep Reinforcement Learning,2015,tutankham
DQN hs,45.6,False,Deep Reinforcement Learning with Double Q-learning,2015,tutankham
A3C FF (1 day) hs,26.1,False,Asynchronous Methods for Deep Reinforcement Learning,2016,tutankham
CGP,0,False,Evolving simple programs for playing Atari games,2018,tutankham
MuZero,197126.00,False,"Mastering Atari, Go, Chess and Shogi by Planning with a Learned Model",2019,wizardofwor
Agent57,157306.41,False,Agent57: Outperforming the Atari Human Benchmark,2020,wizardofwor
R2D2,144362.7,False,Recurrent Experience Replay in Distributed Reinforcement Learning,2019,wizardofwor
UCT,105500,False,The Arcade Learning Environment: An Evaluation Platform for General Agents,2012,wizardofwor
MuZero (Res2 Adam),100096.6,False,Online and Offline Reinforcement Learning by Planning with a Learned Model,2021,wizardofwor
GDI-I3,64293,False,GDI: Rethinking What Makes Reinforcement Learning Different From Supervised Learning,2021,wizardofwor
GDI-H3(200M frames),63735,False,GDI: Rethinking What Makes Reinforcement Learning Different From Supervised Learning,2021,wizardofwor
Ape-X,46204,False,Distributed Prioritized Experience Replay,2018,wizardofwor
FQF,44782.6,False,Fully Parameterized Quantile Function for Distributional Reinforcement Learning,2019,wizardofwor
IQN,31190,False,Implicit Quantile Networks for Distributional Reinforcement Learning,2018,wizardofwor
QR-DQN-1,25061,False,Distributional Reinforcement Learning with Quantile Regression,2017,wizardofwor
A3C LSTM hs,18082.0,False,Asynchronous Methods for Deep Reinforcement Learning,2016,wizardofwor
A3C FF hs,17244.0,False,Asynchronous Methods for Deep Reinforcement Learning,2016,wizardofwor
DreamerV2,12851,False,Mastering Atari with Discrete World Models,2020,wizardofwor
Prior+Duel noop,12352.0,False,Dueling Network Architectures for Deep Reinforcement Learning,2015,wizardofwor
Prior+Duel hs,10471.0,False,Deep Reinforcement Learning with Double Q-learning,2015,wizardofwor
Gorila,10431.0,False,Massively Parallel Methods for Deep Reinforcement Learning,2015,wizardofwor
Advantage Learning,9541.14,False,Increasing the Action Gap: New Operators for Reinforcement Learning,2015,wizardofwor
C51 noop,9300.0,False,A Distributional Perspective on Reinforcement Learning,2017,wizardofwor
IMPALA (deep),9157.50,False,IMPALA: Scalable Distributed Deep-RL with Importance Weighted Actor-Learner Architectures,2018,wizardofwor
NoisyNet-Dueling,9149,False,Noisy Networks for Exploration,2017,wizardofwor
Duel noop,7855.0,False,Dueling Network Architectures for Deep Reinforcement Learning,2015,wizardofwor
DDQN (tuned) noop,7492.0,False,Dueling Network Architectures for Deep Reinforcement Learning,2015,wizardofwor
A2C + SIL,7088.3,False,Self-Imitation Learning,2018,wizardofwor
Duel hs,7054.0,False,Dueling Network Architectures for Deep Reinforcement Learning,2015,wizardofwor
Bootstrapped DQN,6804.7,False,Deep Exploration via Bootstrapped DQN,2016,wizardofwor
DDQN (tuned) hs,6201.0,False,Deep Reinforcement Learning with Double Q-learning,2015,wizardofwor
Prior hs,5727.0,False,Prioritized Experience Replay,2015,wizardofwor
A3C FF (1 day) hs,5278.0,False,Asynchronous Methods for Deep Reinforcement Learning,2016,wizardofwor
Prior noop,4802.0,False,Prioritized Experience Replay,2015,wizardofwor
POP3D,4704,False,Policy Optimization With Penalized Point Probability Distance: An Alternative To Proximal Policy Optimization,2018,wizardofwor
CGP,3820,False,Evolving simple programs for playing Atari games,2018,wizardofwor
ES FF (1 hour) noop,3480.0,False,Evolution Strategies as a Scalable Alternative to Reinforcement Learning,2017,wizardofwor
Nature DQN,3393.0,False,,,wizardofwor
DQN noop,2704.0,False,Deep Reinforcement Learning with Double Q-learning,2015,wizardofwor
Best Learner,1981.3,False,The Arcade Learning Environment: An Evaluation Platform for General Agents,2012,wizardofwor
DQN hs,1609.0,False,Deep Reinforcement Learning with Double Q-learning,2015,wizardofwor
DDQN+Pop-Art noop,483.0,False,Learning values across many orders of magnitude,2016,wizardofwor
SARSA,36.9,False,,,wizardofwor
MuZero,131.13,False,"Mastering Atari, Go, Chess and Shogi by Planning with a Learned Model",2019,robotank
Agent57,127.32,False,Agent57: Outperforming the Atari Human Benchmark,2020,robotank
GDI-H3(200M frames),113.4,False,GDI: Rethinking What Makes Reinforcement Learning Different From Supervised Learning,2021,robotank
GDI-I3,108.2,False,GDI: Rethinking What Makes Reinforcement Learning Different From Supervised Learning,2021,robotank
MuZero (Res2 Adam),100.59,False,Online and Offline Reinforcement Learning by Planning with a Learned Model,2021,robotank
R2D2,100.4,False,Recurrent Experience Replay in Distributed Reinforcement Learning,2019,robotank
DreamerV2,78,False,Mastering Atari with Discrete World Models,2020,robotank
FQF,75.7,False,Fully Parameterized Quantile Function for Distributional Reinforcement Learning,2019,robotank
Ape-X,73.8,False,Distributed Prioritized Experience Replay,2018,robotank
Advantage Learning,69.31,False,Increasing the Action Gap: New Operators for Reinforcement Learning,2015,robotank
Bootstrapped DQN,66.6,False,Deep Exploration via Bootstrapped DQN,2016,robotank
Duel noop,65.3,False,Dueling Network Architectures for Deep Reinforcement Learning,2015,robotank
DDQN (tuned) noop,65.1,False,Dueling Network Architectures for Deep Reinforcement Learning,2015,robotank
DDQN+Pop-Art noop,64.3,False,Learning values across many orders of magnitude,2016,robotank
