,Algorithm,Score,Extra Training Data,Paper Title,Date,Game,Source,Random,Human,Normalized,LogNormalized,In57,train,good
434,GDI-H3(200M frames),968090.0,False,GDI: Rethinking What Makes Reinforcement Learning Different From Supervised Learning,2021.0,yarsrevenge,PapersWithCode,3092.91,54576.9,1874.3634477436576,3.273085447025564,True,True,True
435,MuZero,553311.46,False,"Mastering Atari, Go, Chess and Shogi by Planning with a Learned Model",2019.0,yarsrevenge,PapersWithCode,3092.91,54576.9,1068.7177703204432,3.0292692104325822,True,True,True
436,MuZero (Res2 Adam),219838.09,False,Online and Offline Reinforcement Learning by Planning with a Learned Model,2021.0,yarsrevenge,PapersWithCode,3092.91,54576.9,420.9953035885524,2.625307617698816,True,True,True
437,DreamerV2,156748.0,False,Mastering Atari with Discrete World Models,2020.0,yarsrevenge,PapersWithCode,3092.91,54576.9,298.45217901720514,2.4763274776530046,True,True,True
438,Ape-X,148594.8,False,Distributed Prioritized Experience Replay,2018.0,yarsrevenge,PapersWithCode,3092.91,54576.9,282.61579959129034,2.4527304207429967,True,True,True
439,NoisyNet-Dueling,86101.0,False,Noisy Networks for Exploration,2017.0,yarsrevenge,PapersWithCode,3092.91,54576.9,161.23087973562264,2.210133523255889,True,True,True
440,IMPALA (deep),84231.14,False,IMPALA: Scalable Distributed Deep-RL with Importance Weighted Actor-Learner Architectures,2018.0,yarsrevenge,PapersWithCode,3092.91,54576.9,157.598954548783,2.2003003202124103,True,True,True
442,CGP,28838.2,False,Evolving simple programs for playing Atari games,2018.0,yarsrevenge,PapersWithCode,3092.91,54576.9,50.006400047859536,1.7076246727858237,True,True,True
443,IQN,28379.0,False,Implicit Quantile Networks for Distributional Reinforcement Learning,2018.0,yarsrevenge,PapersWithCode,3092.91,54576.9,49.11447228546194,1.6999631615177462,True,True,True
445,IQN,34.0,False,Implicit Quantile Networks for Distributional Reinforcement Learning,2018.0,freeway,PapersWithCode,0.01,29.6,114.86988847583643,2.0639705889587887,True,True,True
446,NoisyNet-Dueling,34.0,False,Noisy Networks for Exploration,2017.0,freeway,PapersWithCode,0.01,29.6,114.86988847583643,2.0639705889587887,True,True,True
448,GDI-H3(200M frames),34.0,False,GDI: Rethinking What Makes Reinforcement Learning Different From Supervised Learning,2021.0,freeway,PapersWithCode,0.01,29.6,114.86988847583643,2.0639705889587887,True,True,True
449,MuZero (Res2 Adam),33.87,False,Online and Offline Reinforcement Learning by Planning with a Learned Model,2021.0,freeway,PapersWithCode,0.01,29.6,114.43055086177763,2.062320768219284,True,True,True
450,Prior noop,33.7,False,Prioritized Experience Replay,2015.0,freeway,PapersWithCode,0.01,29.6,113.85603244339305,2.0601538100497825,True,True,True
451,Ape-X,33.7,False,Distributed Prioritized Experience Replay,2018.0,freeway,PapersWithCode,0.01,29.6,113.85603244339305,2.0601538100497825,True,True,True
452,DDQN+Pop-Art noop,33.4,False,Learning values across many orders of magnitude,2016.0,freeway,PapersWithCode,0.01,29.6,112.84217641094965,2.056303189906785,True,True,True
453,MuZero,33.03,False,"Mastering Atari, Go, Chess and Shogi by Planning with a Learned Model",2019.0,freeway,PapersWithCode,0.01,29.6,111.59175397093614,2.051506584688884,True,True,True
454,Prior+Duel noop,33.0,False,Dueling Network Architectures for Deep Reinforcement Learning,2015.0,freeway,PapersWithCode,0.01,29.6,111.49036836769179,2.051115338946629,True,True,True
456,DreamerV2,33.0,False,Mastering Atari with Discrete World Models,2020.0,freeway,PapersWithCode,0.01,29.6,111.49036836769179,2.051115338946629,True,True,True
458,Agent57,32.59,False,Agent57: Outperforming the Atari Human Benchmark,2020.0,freeway,PapersWithCode,0.01,29.6,110.1047651233525,2.0457326856051226,True,True,True
459,R2D2,32.5,False,Recurrent Experience Replay in Distributed Reinforcement Learning,2019.0,freeway,PapersWithCode,0.01,29.6,109.80060831361946,2.0445421447473113,True,True,True
460,A2C + SIL,32.2,False,Self-Imitation Learning,2018.0,freeway,PapersWithCode,0.01,29.6,108.78675228117609,2.0405499379438123,True,True,True
462,ES FF (1 hour) noop,31.0,False,Evolution Strategies as a Scalable Alternative to Reinforcement Learning,2017.0,freeway,PapersWithCode,0.01,29.6,104.73132815140251,2.024203687661351,True,True,True
464,Nature DQN,30.3,False,,,freeway,PapersWithCode,0.01,29.6,102.36566407570125,2.014376299116804,True,True,True
468,Prior hs,28.9,False,Prioritized Experience Replay,2015.0,freeway,PapersWithCode,0.01,29.6,97.63433592429874,1.9940281249476712,True,True,True
469,DDQN (tuned) hs,28.8,False,Deep Reinforcement Learning with Double Q-learning,2015.0,freeway,PapersWithCode,0.01,29.6,97.29638391348429,1.9925375414811084,True,True,True
470,Prior+Duel hs,28.2,False,Deep Reinforcement Learning with Double Q-learning,2015.0,freeway,PapersWithCode,0.01,29.6,95.2686718485975,1.9834849801998748,True,True,True
471,CGP,28.2,False,Evolving simple programs for playing Atari games,2018.0,freeway,PapersWithCode,0.01,29.6,95.2686718485975,1.9834849801998748,True,True,True
474,DQN hs,26.9,False,Deep Reinforcement Learning with Double Q-learning,2015.0,freeway,PapersWithCode,0.01,29.6,90.87529570800945,1.9631987499061299,True,True,True
478,POP3D,21.21,False,Policy Optimization With Penalized Point Probability Distance: An Alternative To Proximal Policy Optimization,2018.0,freeway,PapersWithCode,0.01,29.6,71.64582629266644,1.8612106679095661,True,True,True
481,Gorila,10.2,False,Massively Parallel Methods for Deep Reinforcement Learning,2015.0,freeway,PapersWithCode,0.01,29.6,34.43730990199392,1.5494607465371866,True,True,True
483,Duel hs,0.2,False,Dueling Network Architectures for Deep Reinforcement Learning,2015.0,freeway,PapersWithCode,0.01,29.6,0.6421088205474823,0.21540193390237322,True,True,True
484,A3C FF (1 day) hs,0.1,False,Asynchronous Methods for Deep Reinforcement Learning,2016.0,freeway,PapersWithCode,0.01,29.6,0.30415680973301795,0.11532981341076359,True,True,True
485,A3C FF hs,0.1,False,Asynchronous Methods for Deep Reinforcement Learning,2016.0,freeway,PapersWithCode,0.01,29.6,0.30415680973301795,0.11532981341076359,True,True,True
486,A3C LSTM hs,0.1,False,Asynchronous Methods for Deep Reinforcement Learning,2016.0,freeway,PapersWithCode,0.01,29.6,0.30415680973301795,0.11532981341076359,True,True,True
488,IMPALA (deep),0.0,False,IMPALA: Scalable Distributed Deep-RL with Importance Weighted Actor-Learner Architectures,2018.0,freeway,PapersWithCode,0.01,29.6,-0.03379520108144644,0.0,True,True,True
489,Agent57,29660.08,False,Agent57: Outperforming the Atari Human Benchmark,2020.0,amidar,PapersWithCode,5.77,1719.5,1730.39568660174,3.2383963312317525,True,True,True
490,R2D2,29321.4,False,Recurrent Experience Replay in Distributed Reinforcement Learning,2019.0,amidar,PapersWithCode,5.77,1719.5,1710.6329468469362,3.233410637531519,True,True,True
491,MuZero,28634.39,False,"Mastering Atari, Go, Chess and Shogi by Planning with a Learned Model",2019.0,amidar,PapersWithCode,5.77,1719.5,1670.5443681326697,3.223117908645883,True,True,True
492,Ape-X,8659.2,False,Distributed Prioritized Experience Replay,2018.0,amidar,PapersWithCode,5.77,1719.5,504.9471036861116,2.7041051141163326,True,True,True
493,NoisyNet-Dueling,3537.0,False,Noisy Networks for Exploration,2017.0,amidar,PapersWithCode,5.77,1719.5,206.05521289818117,2.316086168933619,True,True,True
495,IQN,2946.0,False,Implicit Quantile Networks for Distributional Reinforcement Learning,2018.0,amidar,PapersWithCode,5.77,1719.5,171.5690336284012,2.2369628670984136,True,True,True
496,DreamerV2,2577.0,False,Mastering Atari with Discrete World Models,2020.0,amidar,PapersWithCode,5.77,1719.5,150.03705367823403,2.179083505133514,True,True,True
497,Prior+Duel noop,2296.8,False,Dueling Network Architectures for Deep Reinforcement Learning,2015.0,amidar,PapersWithCode,5.77,1719.5,133.68675345591197,2.129324884632462,True,True,True
498,Prior noop,1838.9,False,Prioritized Experience Replay,2015.0,amidar,PapersWithCode,5.77,1719.5,106.96725855298092,2.033292074138822,True,True,True
499,IMPALA (deep),1554.79,False,IMPALA: Scalable Distributed Deep-RL with Importance Weighted Actor-Learner Architectures,2018.0,amidar,PapersWithCode,5.77,1719.5,90.38880103633595,1.9608929796932333,True,True,True
500,GDI-I3,1442.0,False,GDI: Rethinking What Makes Reinforcement Learning Different From Supervised Learning,2021.0,amidar,PapersWithCode,5.77,1719.5,83.80725085048402,1.9284329851545168,True,True,True
501,A2C + SIL,1362.0,False,Self-Imitation Learning,2018.0,amidar,PapersWithCode,5.77,1719.5,79.13907091548843,1.9038443031750996,True,True,True
502,MuZero (Res2 Adam),1197.38,False,Online and Offline Reinforcement Learning by Planning with a Learned Model,2021.0,amidar,PapersWithCode,5.77,1719.5,69.53312365425126,1.8483931175857777,True,True,True
503,GDI-H3(200M frames),1065.0,False,GDI: Rethinking What Makes Reinforcement Learning Different From Supervised Learning,2021.0,amidar,PapersWithCode,5.77,1719.5,61.808452906817294,1.7980180960261525,True,True,True
505,DDQN+Pop-Art noop,782.5,False,Learning values across many orders of magnitude,2016.0,amidar,PapersWithCode,5.77,1719.5,45.3239425113641,1.6658055139764452,True,True,True
506,Nature DQN,739.5,False,,,amidar,PapersWithCode,5.77,1719.5,42.81479579630397,1.6416207919565382,True,True,True
507,POP3D,729.15,False,Policy Optimization With Penalized Point Probability Distance: An Alternative To Proximal Policy Optimization,2018.0,amidar,PapersWithCode,5.77,1719.5,42.210850017213914,1.635592809568684,True,True,True
509,A3C FF (1 day) hs,283.9,False,Asynchronous Methods for Deep Reinforcement Learning,2016.0,amidar,PapersWithCode,5.77,1719.5,16.22951106650406,1.236272953354462,True,True,True
510,A3C FF hs,263.9,False,Asynchronous Methods for Deep Reinforcement Learning,2016.0,amidar,PapersWithCode,5.77,1719.5,15.06246608275516,1.2058122236271003,True,True,True
512,Prior+Duel hs,238.4,False,Deep Reinforcement Learning with Double Q-learning,2015.0,amidar,PapersWithCode,5.77,1719.5,13.574483728475315,1.163593179702376,True,True,True
513,Prior+Duel hs,238.4,False,Dueling Network Architectures for Deep Reinforcement Learning,2015.0,amidar,PapersWithCode,5.77,1719.5,13.574483728475315,1.163593179702376,True,True,True
515,CGP,199.0,False,Evolving simple programs for playing Atari games,2018.0,amidar,PapersWithCode,5.77,1719.5,11.275405110489984,1.0890358335320494,True,True,True
516,Gorila,189.2,False,Massively Parallel Methods for Deep Reinforcement Learning,2015.0,amidar,PapersWithCode,5.77,1719.5,10.70355306845302,1.0683177287349315,True,True,True
518,DQN hs,178.4,False,Deep Reinforcement Learning with Double Q-learning,2015.0,amidar,PapersWithCode,5.77,1719.5,10.073348777228619,1.0442789791025606,True,True,True
519,A3C LSTM hs,173.0,False,Asynchronous Methods for Deep Reinforcement Learning,2016.0,amidar,PapersWithCode,5.77,1719.5,9.758246631616416,1.0317414962130056,True,True,True
520,Duel hs,172.7,False,Dueling Network Architectures for Deep Reinforcement Learning,2015.0,amidar,PapersWithCode,5.77,1719.5,9.74074095686018,1.0310342424786099,True,True,True
521,DDQN (tuned) hs,169.1,False,Deep Reinforcement Learning with Double Q-learning,2015.0,amidar,PapersWithCode,5.77,1719.5,9.53067285978538,1.0224561214187227,True,True,True
522,Prior hs,129.1,False,Prioritized Experience Replay,2015.0,amidar,PapersWithCode,5.77,1719.5,7.196582892287583,0.9136328352712115,True,True,True
523,ES FF (1 hour) noop,112.0,False,Evolution Strategies as a Scalable Alternative to Reinforcement Learning,2017.0,amidar,PapersWithCode,5.77,1719.5,6.198759431182275,0.8572576605128176,True,True,True
526,GDI-I3,24.0,False,GDI: Rethinking What Makes Reinforcement Learning Different From Supervised Learning,2021.0,tennis,PapersWithCode,-23.84,-8.3,307.85070785070786,2.489748601028429,True,True,True
527,GDI-H3(200M frames),24.0,False,GDI: Rethinking What Makes Reinforcement Learning Different From Supervised Learning,2021.0,tennis,PapersWithCode,-23.84,-8.3,307.85070785070786,2.489748601028429,True,True,True
528,Ape-X,23.9,False,Distributed Prioritized Experience Replay,2018.0,tennis,PapersWithCode,-23.84,-8.3,307.20720720720715,2.48884279016995,True,True,True
529,Agent57,23.84,False,Agent57: Outperforming the Atari Human Benchmark,2020.0,tennis,PapersWithCode,-23.84,-8.3,306.8211068211068,2.4882983954228837,True,True,True
530,IQN,23.6,False,Implicit Quantile Networks for Distributional Reinforcement Learning,2018.0,tennis,PapersWithCode,-23.84,-8.3,305.2767052767053,2.4861139665927166,True,True,True
533,DreamerV2,14.0,False,Mastering Atari with Discrete World Models,2020.0,tennis,PapersWithCode,-23.84,-8.3,243.50064350064355,2.3882800064797243,True,True,True
534,DDQN+Pop-Art noop,12.1,False,Learning values across many orders of magnitude,2016.0,tennis,PapersWithCode,-23.84,-8.3,231.2741312741313,2.366000844451612,True,True,True
535,DQN hs,11.1,False,Deep Reinforcement Learning with Double Q-learning,2015.0,tennis,PapersWithCode,-23.84,-8.3,224.83912483912485,2.3537991821851114,True,True,True
536,Duel hs,4.4,False,Dueling Network Architectures for Deep Reinforcement Learning,2015.0,tennis,PapersWithCode,-23.84,-8.3,181.72458172458172,2.2617969764122754,True,True,True
537,IMPALA (deep),0.55,False,IMPALA: Scalable Distributed Deep-RL with Importance Weighted Actor-Learner Architectures,2018.0,tennis,PapersWithCode,-23.84,-8.3,156.94980694980697,2.198519099435946,True,True,True
539,Prior noop,0.0,False,Prioritized Experience Replay,2015.0,tennis,PapersWithCode,-23.84,-8.3,153.4105534105534,2.188676979492848,True,True,True
540,Prior+Duel noop,0.0,False,Dueling Network Architectures for Deep Reinforcement Learning,2015.0,tennis,PapersWithCode,-23.84,-8.3,153.4105534105534,2.188676979492848,True,True,True
541,MuZero,0.0,False,"Mastering Atari, Go, Chess and Shogi by Planning with a Learned Model",2019.0,tennis,PapersWithCode,-23.84,-8.3,153.4105534105534,2.188676979492848,True,True,True
542,CGP,0.0,False,Evolving simple programs for playing Atari games,2018.0,tennis,PapersWithCode,-23.84,-8.3,153.4105534105534,2.188676979492848,True,True,True
543,NoisyNet-Dueling,0.0,False,Noisy Networks for Exploration,2017.0,tennis,PapersWithCode,-23.84,-8.3,153.4105534105534,2.188676979492848,True,True,True
544,MuZero (Res2 Adam),0.0,False,Online and Offline Reinforcement Learning by Planning with a Learned Model,2021.0,tennis,PapersWithCode,-23.84,-8.3,153.4105534105534,2.188676979492848,True,True,True
545,Nature DQN,-2.5,False,,,tennis,PapersWithCode,-23.84,-8.3,137.32303732303734,2.1408945166897553,True,True,True
546,Gorila,-0.7,False,Massively Parallel Methods for Deep Reinforcement Learning,2015.0,tennis,PapersWithCode,-23.84,-8.3,148.9060489060489,2.175819157554859,True,True,True
547,DDQN (tuned) hs,-7.8,False,Deep Reinforcement Learning with Double Q-learning,2015.0,tennis,PapersWithCode,-23.84,-8.3,103.21750321750322,2.0179406643800633,True,True,True
548,Prior+Duel hs,-13.2,False,Deep Reinforcement Learning with Double Q-learning,2015.0,tennis,PapersWithCode,-23.84,-8.3,68.46846846846847,1.8417877243382264,True,True,True
549,Prior hs,-5.3,False,Prioritized Experience Replay,2015.0,tennis,PapersWithCode,-23.84,-8.3,119.30501930501931,2.0802837471320212,True,True,True
550,A3C FF hs,-6.3,False,Asynchronous Methods for Deep Reinforcement Learning,2016.0,tennis,PapersWithCode,-23.84,-8.3,112.87001287001287,2.0564093697355004,True,True,True
551,A3C LSTM hs,-6.4,False,Asynchronous Methods for Deep Reinforcement Learning,2016.0,tennis,PapersWithCode,-23.84,-8.3,112.22651222651221,2.053948129728092,True,True,True
552,A3C FF (1 day) hs,-10.2,False,Asynchronous Methods for Deep Reinforcement Learning,2016.0,tennis,PapersWithCode,-23.84,-8.3,87.77348777348777,1.9482832829762058,True,True,True
553,ES FF (1 hour) noop,-4.5,False,Evolution Strategies as a Scalable Alternative to Reinforcement Learning,2017.0,tennis,PapersWithCode,-23.84,-8.3,124.45302445302445,2.098481135857294,True,True,True
554,R2D2,-0.1,False,Recurrent Experience Replay in Distributed Reinforcement Learning,2019.0,tennis,PapersWithCode,-23.84,-8.3,152.76705276705277,2.1868632903788923,True,True,True
556,POP3D,-8.32,False,Policy Optimization With Penalized Point Probability Distance: An Alternative To Proximal Policy Optimization,2018.0,tennis,PapersWithCode,-23.84,-8.3,99.87129987129988,2.0037676173712753,True,True,True
557,A2C + SIL,-17.3,False,Self-Imitation Learning,2018.0,tennis,PapersWithCode,-23.84,-8.3,42.08494208494208,1.6343255135005317,True,True,True
558,Agent57,44199.93,False,Agent57: Outperforming the Atari Human Benchmark,2020.0,solaris,PapersWithCode,1236.3,12326.7,387.39477385847215,2.58927337751893,True,True,True
559,GDI-I3,11074.0,False,GDI: Rethinking What Makes Reinforcement Learning Different From Supervised Learning,2021.0,solaris,PapersWithCode,1236.3,12326.7,88.70464545913583,1.9528149340700507,True,True,True
560,GDI-H3(200M frames),9105.0,False,GDI: Rethinking What Makes Reinforcement Learning Different From Supervised Learning,2021.0,solaris,PapersWithCode,1236.3,12326.7,70.95055182860851,1.8570341291301724,True,True,True
561,CGP,8324.0,False,Evolving simple programs for playing Atari games,2018.0,solaris,PapersWithCode,1236.3,12326.7,63.90842530476808,1.8123010731621605,True,True,True
562,IQN,8007.0,False,Implicit Quantile Networks for Distributional Reinforcement Learning,2018.0,solaris,PapersWithCode,1236.3,12326.7,61.050097381519144,1.7927424674177175,True,True,True
563,NoisyNet-Dueling,6522.0,False,Noisy Networks for Exploration,2017.0,solaris,PapersWithCode,1236.3,12326.7,47.66013849816056,1.687173340700457,True,True,True
564,MuZero (Res2 Adam),5132.95,False,Online and Offline Reinforcement Learning by Planning with a Learned Model,2021.0,solaris,PapersWithCode,1236.3,12326.7,35.13534227800619,1.5579321727594446,True,True,True
565,R2D2,3787.2,False,Recurrent Experience Replay in Distributed Reinforcement Learning,2019.0,solaris,PapersWithCode,1236.3,12326.7,23.00097381519151,1.3802288631276112,True,True,True
567,Ape-X,2892.9,False,Distributed Prioritized Experience Replay,2018.0,solaris,PapersWithCode,1236.3,12326.7,14.937243020991126,1.2024131950821688,True,True,True
568,IMPALA (deep),2365.0,False,IMPALA: Scalable Distributed Deep-RL with Importance Weighted Actor-Learner Architectures,2018.0,solaris,PapersWithCode,1236.3,12326.7,10.177270432085406,1.0483357587366802,True,True,True
570,DreamerV2,922.0,False,Mastering Atari with Discrete World Models,2020.0,solaris,PapersWithCode,1236.3,12326.7,-2.8339825434610106,0.0,True,True,True
571,MuZero,56.62,False,"Mastering Atari, Go, Chess and Shogi by Planning with a Learned Model",2019.0,solaris,PapersWithCode,1236.3,12326.7,-10.63694726971074,0.0,True,True,True
572,MuZero (Res2 Adam),27219.8,False,Online and Offline Reinforcement Learning by Planning with a Learned Model,2021.0,bankheist,PapersWithCode,14.2,753.1,3681.905535255109,3.566190579554457,True,True,True
573,R2D2,24235.9,False,Recurrent Experience Replay in Distributed Reinforcement Learning,2019.0,bankheist,PapersWithCode,14.2,753.1,3278.075517661389,3.5157514186595957,True,True,True
574,Agent57,23071.5,False,Agent57: Outperforming the Atari Human Benchmark,2020.0,bankheist,PapersWithCode,14.2,753.1,3120.4899174448506,3.494361936478541,True,True,True
575,Ape-X,1716.4,False,Distributed Prioritized Experience Replay,2018.0,bankheist,PapersWithCode,14.2,753.1,230.36946812829882,2.3643060482274123,True,True,True
576,Prior+Duel noop,1503.1,False,Dueling Network Architectures for Deep Reinforcement Learning,2015.0,bankheist,PapersWithCode,14.2,753.1,201.50223304912708,2.3064298166645965,True,True,True
577,IQN,1416.0,False,Implicit Quantile Networks for Distributional Reinforcement Learning,2018.0,bankheist,PapersWithCode,14.2,753.1,189.71444038435513,2.2803835779008037,True,True,True
578,GDI-I3,1401.0,False,GDI: Rethinking What Makes Reinforcement Learning Different From Supervised Learning,2021.0,bankheist,PapersWithCode,14.2,753.1,187.68439572337257,2.2757359853188803,True,True,True
579,GDI-H3(200M frames),1380.0,False,GDI: Rethinking What Makes Reinforcement Learning Different From Supervised Learning,2021.0,bankheist,PapersWithCode,14.2,753.1,184.84233319799702,2.269144649270948,True,True,True
580,NoisyNet-Dueling,1318.0,False,Noisy Networks for Exploration,2017.0,bankheist,PapersWithCode,14.2,753.1,176.45148193260252,2.249079630578311,True,True,True
581,MuZero,1278.98,False,"Mastering Atari, Go, Chess and Shogi by Planning with a Learned Model",2019.0,bankheist,PapersWithCode,14.2,753.1,171.17065908783326,2.235959141995872,True,True,True
583,IMPALA (deep),1223.15,False,IMPALA: Scalable Distributed Deep-RL with Importance Weighted Actor-Learner Architectures,2018.0,bankheist,PapersWithCode,14.2,753.1,163.61483285965625,2.216468965377257,True,True,True
584,POP3D,1212.23,False,Policy Optimization With Penalized Point Probability Distance: An Alternative To Proximal Policy Optimization,2018.0,bankheist,PapersWithCode,14.2,753.1,162.13696034646097,2.2125523660436137,True,True,True
585,A2C + SIL,1137.8,False,Self-Imitation Learning,2018.0,bankheist,PapersWithCode,14.2,753.1,152.06387873866558,2.184872714438721,True,True,True
586,Duel hs,1129.3,False,Dueling Network Architectures for Deep Reinforcement Learning,2015.0,bankheist,PapersWithCode,14.2,753.1,150.91352009744213,2.181596427203269,True,True,True
587,DreamerV2,1126.0,False,Mastering Atari with Discrete World Models,2020.0,bankheist,PapersWithCode,14.2,753.1,150.46691027202598,2.1803177664629096,True,True,True
588,DDQN+Pop-Art noop,1103.3,False,Learning values across many orders of magnitude,2016.0,bankheist,PapersWithCode,14.2,753.1,147.39477601840574,2.1714186126255344,True,True,True
589,Prior noop,1054.6,False,Prioritized Experience Replay,2015.0,bankheist,PapersWithCode,14.2,753.1,140.80389768574906,2.151688168224686,True,True,True
590,Prior+Duel hs,1004.6,False,Deep Reinforcement Learning with Double Q-learning,2015.0,bankheist,PapersWithCode,14.2,753.1,134.03708214914062,2.130453045245606,True,True,True
591,A3C FF hs,970.1,False,Asynchronous Methods for Deep Reinforcement Learning,2016.0,bankheist,PapersWithCode,14.2,753.1,129.36797942888077,2.1151709344555454,True,True,True
592,A3C FF (1 day) hs,946.0,False,Asynchronous Methods for Deep Reinforcement Learning,2016.0,bankheist,PapersWithCode,14.2,753.1,126.10637434023549,2.104167330816583,True,True,True
593,A3C LSTM hs,932.8,False,Asynchronous Methods for Deep Reinforcement Learning,2016.0,bankheist,PapersWithCode,14.2,753.1,124.31993503857083,2.0980201610868017,True,True,True
594,DDQN (tuned) hs,886.0,False,Deep Reinforcement Learning with Double Q-learning,2015.0,bankheist,PapersWithCode,14.2,753.1,117.98619569630532,2.075496579201998,True,True,True
595,Prior hs,876.6,False,Prioritized Experience Replay,2015.0,bankheist,PapersWithCode,14.2,753.1,116.71403437542293,2.070828244393558,True,True,True
596,Nature DQN,429.7,False,,,bankheist,PapersWithCode,14.2,753.1,56.232237109216406,1.7576407220607475,True,True,True
597,Gorila,399.4,False,Massively Parallel Methods for Deep Reinforcement Learning,2015.0,bankheist,PapersWithCode,14.2,753.1,52.13154689403167,1.7253524603246122,True,True,True
598,DQN hs,312.7,False,Deep Reinforcement Learning with Double Q-learning,2015.0,bankheist,PapersWithCode,14.2,753.1,40.39788875355258,1.6169781931483829,True,True,True
600,ES FF (1 hour) noop,225.0,False,Evolution Strategies as a Scalable Alternative to Reinforcement Learning,2017.0,bankheist,PapersWithCode,14.2,753.1,28.528894302341318,1.470247185286036,True,True,True
603,CGP,148.0,False,Evolving simple programs for playing Atari games,2018.0,bankheist,PapersWithCode,14.2,753.1,18.107998375964275,1.2812151956995628,True,True,True
606,GDI-I3,488830.0,False,GDI: Rethinking What Makes Reinforcement Learning Different From Supervised Learning,2021.0,gopher,PapersWithCode,257.6,2412.5,22672.625179822728,4.355520962990427,True,True,True
607,GDI-H3(200M frames),473560.0,False,GDI: Rethinking What Makes Reinforcement Learning Different From Supervised Learning,2021.0,gopher,PapersWithCode,257.6,2412.5,21964.007610561974,4.341731358078212,True,True,True
608,MuZero,130345.58,False,"Mastering Atari, Go, Chess and Shogi by Planning with a Learned Model",2019.0,gopher,PapersWithCode,257.6,2412.5,6036.845329249617,3.7808819835605845,True,True,True
609,R2D2,124776.3,False,Recurrent Experience Replay in Distributed Reinforcement Learning,2019.0,gopher,PapersWithCode,257.6,2412.5,5778.398069515986,3.76188260854154,True,True,True
610,MuZero (Res2 Adam),122882.5,False,Online and Offline Reinforcement Learning by Planning with a Learned Model,2021.0,gopher,PapersWithCode,257.6,2412.5,5690.514641050629,3.7552278573818567,True,True,True
611,Ape-X,120500.9,False,Distributed Prioritized Experience Replay,2018.0,gopher,PapersWithCode,257.6,2412.5,5579.994431296115,3.7467115891788043,True,True,True
612,IQN,118365.0,False,Implicit Quantile Networks for Distributional Reinforcement Learning,2018.0,gopher,PapersWithCode,257.6,2412.5,5480.876142744442,3.738929218884928,True,True,True
613,Agent57,117777.08,False,Agent57: Outperforming the Atari Human Benchmark,2020.0,gopher,PapersWithCode,257.6,2412.5,5453.593206181261,3.7367623672252974,True,True,True
614,Prior+Duel hs,105148.4,False,Deep Reinforcement Learning with Double Q-learning,2015.0,gopher,PapersWithCode,257.6,2412.5,4867.548378114992,3.687399489890026,True,True,True
615,Prior+Duel noop,104368.2,False,Dueling Network Architectures for Deep Reinforcement Learning,2015.0,gopher,PapersWithCode,257.6,2412.5,4831.342521694742,3.684157709969422,True,True,True
616,DreamerV2,92282.0,False,Mastering Atari with Discrete World Models,2020.0,gopher,PapersWithCode,257.6,2412.5,4270.471947654183,3.6305775585348705,True,True,True
617,IMPALA (deep),66782.3,False,IMPALA: Scalable Distributed Deep-RL with Importance Weighted Actor-Learner Architectures,2018.0,gopher,PapersWithCode,257.6,2412.5,3087.136294027565,3.489696459551608,True,True,True
618,DDQN+Pop-Art noop,56218.2,False,Learning values across many orders of magnitude,2016.0,gopher,PapersWithCode,257.6,2412.5,2596.900088171145,3.4146224446622124,True,True,True
619,NoisyNet-Dueling,38909.0,False,Noisy Networks for Exploration,2017.0,gopher,PapersWithCode,257.6,2412.5,1793.651677572045,3.2539801692442514,True,True,True
620,Prior hs,34858.8,False,Prioritized Experience Replay,2015.0,gopher,PapersWithCode,257.6,2412.5,1605.698640308135,3.205934426156877,True,True,True
621,Prior noop,32487.2,False,Prioritized Experience Replay,2015.0,gopher,PapersWithCode,257.6,2412.5,1495.642489210636,3.175118070546098,True,True,True
622,A2C + SIL,23304.2,False,Self-Imitation Learning,2018.0,gopher,PapersWithCode,257.6,2412.5,1069.4974244744535,3.029585626756213,True,True,True
623,Duel hs,20051.4,False,Dueling Network Architectures for Deep Reinforcement Learning,2015.0,gopher,PapersWithCode,257.6,2412.5,918.5484245208595,2.963574604643637,True,True,True
624,A3C LSTM hs,17106.8,False,Asynchronous Methods for Deep Reinforcement Learning,2016.0,gopher,PapersWithCode,257.6,2412.5,781.9017123764444,2.893707242962309,True,True,True
625,DDQN (tuned) hs,15253.0,False,Deep Reinforcement Learning with Double Q-learning,2015.0,gopher,PapersWithCode,257.6,2412.5,695.8745185391433,2.843154584680376,True,True,True
626,A3C FF hs,10022.8,False,Asynchronous Methods for Deep Reinforcement Learning,2016.0,gopher,PapersWithCode,257.6,2412.5,453.162559747552,2.657211328991498,True,True,True
627,Nature DQN,8520.0,False,,,gopher,PapersWithCode,257.6,2412.5,383.4238247714511,2.5848102953496275,True,True,True
628,A3C FF (1 day) hs,8442.8,False,Asynchronous Methods for Deep Reinforcement Learning,2016.0,gopher,PapersWithCode,257.6,2412.5,379.8412919393011,2.5807440297575615,True,True,True
629,DQN hs,8190.4,False,Deep Reinforcement Learning with Double Q-learning,2015.0,gopher,PapersWithCode,257.6,2412.5,368.12845143626146,2.567177520745814,True,True,True
630,POP3D,6207.0,False,Policy Optimization With Penalized Point Probability Distance: An Alternative To Proximal Policy Optimization,2018.0,gopher,PapersWithCode,257.6,2412.5,276.0870574040559,2.4426162405809593,True,True,True
